time,SML
2011-01-01 00:00:00+00:00,-24.354668
2011-01-01 00:01:00+00:00,-24.197765
2011-01-01 00:02:00+00:00,-24.278097
2011-01-01 00:03:00+00:00,-24.339848
2011-01-01 00:04:00+00:00,-24.509996
2011-01-01 00:05:00+00:00,-24.33935
2011-01-01 00:06:00+00:00,-24.286919
2011-01-01 00:07:00+00:00,-24.424999
2011-01-01 00:08:00+00:00,-24.327835
2011-01-01 00:09:00+00:00,-23.940762
2011-01-01 00:10:00+00:00,-24.207167
2011-01-01 00:11:00+00:00,-24.414186
2011-01-01 00:12:00+00:00,-24.237631
2011-01-01 00:13:00+00:00,-24.111118
2011-01-01 00:14:00+00:00,-24.171396
2011-01-01 00:15:00+00:00,-24.514193
2011-01-01 00:16:00+00:00,-24.477417
2011-01-01 00:17:00+00:00,-24.904861
2011-01-01 00:18:00+00:00,-24.976233
2011-01-01 00:19:00+00:00,-24.695465
2011-01-01 00:20:00+00:00,-24.863363
2011-01-01 00:21:00+00:00,-25.089333
2011-01-01 00:22:00+00:00,-25.103867
2011-01-01 00:23:00+00:00,-25.014399
2011-01-01 00:24:00+00:00,-25.063173
2011-01-01 00:25:00+00:00,-25.060749
2011-01-01 00:26:00+00:00,-24.977854
2011-01-01 00:27:00+00:00,-24.986393
2011-01-01 00:28:00+00:00,-24.844202
2011-01-01 00:29:00+00:00,-25.25053
2011-01-01 00:30:00+00:00,-25.627275
2011-01-01 00:31:00+00:00,-25.77302
2011-01-01 00:32:00+00:00,-25.794991
2011-01-01 00:33:00+00:00,-25.693193
2011-01-01 00:34:00+00:00,-25.768436
2011-01-01 00:35:00+00:00,-25.805899
2011-01-01 00:36:00+00:00,-25.952087
2011-01-01 00:37:00+00:00,-25.949219
2011-01-01 00:38:00+00:00,-26.002365
2011-01-01 00:39:00+00:00,-29.065708
2011-01-01 00:40:00+00:00,-34.754196
2011-01-01 00:41:00+00:00,-41.789566
2011-01-01 00:42:00+00:00,-54.857433
2011-01-01 00:43:00+00:00,-63.18734
2011-01-01 00:44:00+00:00,-60.919964
2011-01-01 00:45:00+00:00,-86.782906
2011-01-01 00:46:00+00:00,-82.93129
2011-01-01 00:47:00+00:00,-39.176117
2011-01-01 00:48:00+00:00,-34.166794
2011-01-01 00:49:00+00:00,-34.303234
