time,SML
2020-01-01 00:00:00+00:00,-17.828535
2020-01-01 00:01:00+00:00,-18.165144
2020-01-01 00:02:00+00:00,-18.630404
2020-01-01 00:03:00+00:00,-18.572506
2020-01-01 00:04:00+00:00,-18.870405
2020-01-01 00:05:00+00:00,-18.592018
2020-01-01 00:06:00+00:00,-18.032312
2020-01-01 00:07:00+00:00,-17.914478
2020-01-01 00:08:00+00:00,-17.293724
2020-01-01 00:09:00+00:00,-16.975792
2020-01-01 00:10:00+00:00,-16.748308
2020-01-01 00:11:00+00:00,-16.532221
2020-01-01 00:12:00+00:00,-15.749937
2020-01-01 00:13:00+00:00,-15.68471
2020-01-01 00:14:00+00:00,-15.783848
2020-01-01 00:15:00+00:00,-15.235876
2020-01-01 00:16:00+00:00,-15.324995
2020-01-01 00:17:00+00:00,-15.150423
2020-01-01 00:18:00+00:00,-15.248802
2020-01-01 00:19:00+00:00,-14.92145
2020-01-01 00:20:00+00:00,-14.780812
2020-01-01 00:21:00+00:00,-14.757629
2020-01-01 00:22:00+00:00,-14.559632
2020-01-01 00:23:00+00:00,-14.744435
2020-01-01 00:24:00+00:00,-14.987217
2020-01-01 00:25:00+00:00,-15.863285
2020-01-01 00:26:00+00:00,-15.48094
2020-01-01 00:27:00+00:00,-14.629778
2020-01-01 00:28:00+00:00,-14.617462
2020-01-01 00:29:00+00:00,-16.475779
2020-01-01 00:30:00+00:00,-16.627136
2020-01-01 00:31:00+00:00,-16.625803
2020-01-01 00:32:00+00:00,-15.145283
2020-01-01 00:33:00+00:00,-14.121013
2020-01-01 00:34:00+00:00,-15.346096
2020-01-01 00:35:00+00:00,-17.553854
2020-01-01 00:36:00+00:00,-24.431295
2020-01-01 00:37:00+00:00,-31.220037
2020-01-01 00:38:00+00:00,-35.812603
2020-01-01 00:39:00+00:00,-39.411209
2020-01-01 00:40:00+00:00,-40.599785
2020-01-01 00:41:00+00:00,-37.023827
2020-01-01 00:42:00+00:00,-29.11496
2020-01-01 00:43:00+00:00,-24.502079
2020-01-01 00:44:00+00:00,-21.532825
2020-01-01 00:45:00+00:00,-20.668123
2020-01-01 00:46:00+00:00,-20.981176
2020-01-01 00:47:00+00:00,-22.197609
2020-01-01 00:48:00+00:00,-23.254883
2020-01-01 00:49:00+00:00,-23.887358
2020-01-01 00:50:00+00:00,-19.831348
2020-01-01 00:51:00+00:00,-14.48821
2020-01-01 00:52:00+00:00,-12.08742
2020-01-01 00:53:00+00:00,-11.468654
2020-01-01 00:54:00+00:00,-11.501276
2020-01-01 00:55:00+00:00,-11.464108
2020-01-01 00:56:00+00:00,-11.677435
2020-01-01 00:57:00+00:00,-11.567986
2020-01-01 00:58:00+00:00,-11.606432
2020-01-01 00:59:00+00:00,-11.429467
2020-01-01 01:00:00+00:00,-11.304638
2020-01-01 01:01:00+00:00,-11.322927
2020-01-01 01:02:00+00:00,-11.489538
