time,SML
2022-01-01 00:00:00+00:00,-20.2871
2022-01-01 00:01:00+00:00,-20.144009
2022-01-01 00:02:00+00:00,-20.167976
2022-01-01 00:03:00+00:00,-19.062525
2022-01-01 00:04:00+00:00,-18.448544
2022-01-01 00:05:00+00:00,-19.017071
2022-01-01 00:06:00+00:00,-19.766541
2022-01-01 00:07:00+00:00,-19.859266
2022-01-01 00:08:00+00:00,-19.31517
2022-01-01 00:09:00+00:00,-19.271111
2022-01-01 00:10:00+00:00,-19.460392
2022-01-01 00:11:00+00:00,-20.100101
2022-01-01 00:12:00+00:00,-20.033024
2022-01-01 00:13:00+00:00,-20.201553
2022-01-01 00:14:00+00:00,-19.732656
2022-01-01 00:15:00+00:00,-19.239624
2022-01-01 00:16:00+00:00,-19.57988
2022-01-01 00:17:00+00:00,-20.345253
2022-01-01 00:18:00+00:00,-20.875587
2022-01-01 00:19:00+00:00,-20.461912
2022-01-01 00:20:00+00:00,-18.936321
2022-01-01 00:21:00+00:00,-19.636627
2022-01-01 00:22:00+00:00,-20.796173
2022-01-01 00:23:00+00:00,-22.050323
2022-01-01 00:24:00+00:00,-22.628176
2022-01-01 00:25:00+00:00,-22.796101
2022-01-01 00:26:00+00:00,-20.671286
2022-01-01 00:27:00+00:00,-22.144093
2022-01-01 00:28:00+00:00,-23.423471
2022-01-01 00:29:00+00:00,-22.285511
2022-01-01 00:30:00+00:00,-23.04051
2022-01-01 00:31:00+00:00,-25.747877
2022-01-01 00:32:00+00:00,-26.514322
2022-01-01 00:33:00+00:00,-31.369823
2022-01-01 00:34:00+00:00,-35.266636
2022-01-01 00:35:00+00:00,-50.365887
2022-01-01 00:36:00+00:00,-66.097252
2022-01-01 00:37:00+00:00,-65.813255
2022-01-01 00:38:00+00:00,-70.482712
2022-01-01 00:39:00+00:00,-68.507629
2022-01-01 00:40:00+00:00,-106.486412
2022-01-01 00:41:00+00:00,-167.379517
2022-01-01 00:42:00+00:00,-215.443802
2022-01-01 00:43:00+00:00,-206.255493
2022-01-01 00:44:00+00:00,-171.804871
2022-01-01 00:45:00+00:00,-207.563629
2022-01-01 00:46:00+00:00,-252.736801
2022-01-01 00:47:00+00:00,-236.0961
2022-01-01 00:48:00+00:00,-167.884628
2022-01-01 00:49:00+00:00,-166.728073
2022-01-01 00:50:00+00:00,-161.505737
2022-01-01 00:51:00+00:00,-155.176254
2022-01-01 00:52:00+00:00,-164.818771
2022-01-01 00:53:00+00:00,-168.793655
2022-01-01 00:54:00+00:00,-154.552017
2022-01-01 00:55:00+00:00,-140.679855
2022-01-01 00:56:00+00:00,-135.650787
2022-01-01 00:57:00+00:00,-135.427704
2022-01-01 00:58:00+00:00,-136.189346
2022-01-01 00:59:00+00:00,-137.404465
2022-01-01 01:00:00+00:00,-138.588684
2022-01-01 01:01:00+00:00,-133.023331
2022-01-01 01:02:00+00:00,-134.554047
2022-01-01 01:03:00+00:00,-128.02951
2022-01-01 01:04:00+00:00,-117.233871
2022-01-01 01:05:00+00:00,-112.037231
2022-01-01 01:06:00+00:00,-113.271629
2022-01-01 01:07:00+00:00,-119.639175
2022-01-01 01:08:00+00:00,-119.769806
2022-01-01 01:09:00+00:00,-163.918396
2022-01-01 01:10:00+00:00,-217.776642
2022-01-01 01:11:00+00:00,-240.444122
2022-01-01 01:12:00+00:00,-234.338791
2022-01-01 01:13:00+00:00,-209.069046
2022-01-01 01:14:00+00:00,-167.922974
2022-01-01 01:15:00+00:00,-152.992355
2022-01-01 01:16:00+00:00,-174.629669
2022-01-01 01:17:00+00:00,-220.098709
2022-01-01 01:18:00+00:00,-241.555664
2022-01-01 01:19:00+00:00,-240.025894
2022-01-01 01:20:00+00:00,-242.094391
2022-01-01 01:21:00+00:00,-208.837296
2022-01-01 01:22:00+00:00,-202.321014
2022-01-01 01:23:00+00:00,-204.207596
2022-01-01 01:24:00+00:00,-227.224701
2022-01-01 01:25:00+00:00,-217.556808
2022-01-01 01:26:00+00:00,-227.130707
2022-01-01 01:27:00+00:00,-254.310623
2022-01-01 01:28:00+00:00,-287.085815
2022-01-01 01:29:00+00:00,-219.89476
2022-01-01 01:30:00+00:00,-203.793121
2022-01-01 01:31:00+00:00,-193.323181
2022-01-01 01:32:00+00:00,-184.436447
2022-01-01 01:33:00+00:00,-179.316452
2022-01-01 01:34:00+00:00,-175.352753
2022-01-01 01:35:00+00:00,-173.663467
2022-01-01 01:36:00+00:00,-156.301239
2022-01-01 01:37:00+00:00,-151.090256
2022-01-01 01:38:00+00:00,-140.513809
2022-01-01 01:39:00+00:00,-127.741463
2022-01-01 01:40:00+00:00,-133.665421
2022-01-01 01:41:00+00:00,-143.230835
2022-01-01 01:42:00+00:00,-136.990158
2022-01-01 01:43:00+00:00,-145.800812
2022-01-01 01:44:00+00:00,-151.358047
2022-01-01 01:45:00+00:00,-147.999741
2022-01-01 01:46:00+00:00,-159.044083
2022-01-01 01:47:00+00:00,-151.145584
2022-01-01 01:48:00+00:00,-157.319702
2022-01-01 01:49:00+00:00,-156.762695
2022-01-01 01:50:00+00:00,-147.084869
2022-01-01 01:51:00+00:00,-145.177811
2022-01-01 01:52:00+00:00,-161.079559
2022-01-01 01:53:00+00:00,-164.599518
2022-01-01 01:54:00+00:00,-160.439087
2022-01-01 01:55:00+00:00,-155.169373
2022-01-01 01:56:00+00:00,-152.692719
2022-01-01 01:57:00+00:00,-142.409439
2022-01-01 01:58:00+00:00,-125.734558
2022-01-01 01:59:00+00:00,-123.208076
2022-01-01 02:00:00+00:00,-121.825073
2022-01-01 02:01:00+00:00,-113.973289
2022-01-01 02:02:00+00:00,-112.685448
2022-01-01 02:03:00+00:00,-118.516075
2022-01-01 02:04:00+00:00,-117.513023
2022-01-01 02:05:00+00:00,-101.926285
2022-01-01 02:06:00+00:00,-88.008324
2022-01-01 02:07:00+00:00,-77.967377
2022-01-01 02:08:00+00:00,-74.549026
2022-01-01 02:09:00+00:00,-70.594963
2022-01-01 02:10:00+00:00,-72.015297
2022-01-01 02:11:00+00:00,-71.984695
2022-01-01 02:12:00+00:00,-82.365402
2022-01-01 02:13:00+00:00,-89.470848
2022-01-01 02:14:00+00:00,-95.463104
2022-01-01 02:15:00+00:00,-102.296219
2022-01-01 02:16:00+00:00,-112.340141
2022-01-01 02:17:00+00:00,-110.997421
2022-01-01 02:18:00+00:00,-98.923149
2022-01-01 02:19:00+00:00,-88.866745
2022-01-01 02:20:00+00:00,-102.324432
2022-01-01 02:21:00+00:00,-139.326935
2022-01-01 02:22:00+00:00,-194.36937
2022-01-01 02:23:00+00:00,-245.725098
2022-01-01 02:24:00+00:00,-259.980133
2022-01-01 02:25:00+00:00,-252.542633
2022-01-01 02:26:00+00:00,-224.902802
2022-01-01 02:27:00+00:00,-213.232498
2022-01-01 02:28:00+00:00,-205.601044
2022-01-01 02:29:00+00:00,-194.448624
2022-01-01 02:30:00+00:00,-177.770584
2022-01-01 02:31:00+00:00,-125.655518
2022-01-01 02:32:00+00:00,-106.788658
2022-01-01 02:33:00+00:00,-106.362503
2022-01-01 02:34:00+00:00,-108.210449
2022-01-01 02:35:00+00:00,-98.754974
2022-01-01 02:36:00+00:00,-87.573906
2022-01-01 02:37:00+00:00,-92.540253
2022-01-01 02:38:00+00:00,-98.22316
