time,SML
2015-01-01 00:00:00+00:00,-37.671413
2015-01-01 00:01:00+00:00,-41.605286
2015-01-01 00:02:00+00:00,-50.040379
2015-01-01 00:03:00+00:00,-46.269867
2015-01-01 00:04:00+00:00,-39.475479
2015-01-01 00:05:00+00:00,-39.05759
2015-01-01 00:06:00+00:00,-38.154804
2015-01-01 00:07:00+00:00,-39.022156
2015-01-01 00:08:00+00:00,-48.833397
2015-01-01 00:09:00+00:00,-47.692326
2015-01-01 00:10:00+00:00,-36.068398
2015-01-01 00:11:00+00:00,-35.76231
2015-01-01 00:12:00+00:00,-34.067886
2015-01-01 00:13:00+00:00,-32.321045
2015-01-01 00:14:00+00:00,-31.819616
2015-01-01 00:15:00+00:00,-32.195415
2015-01-01 00:16:00+00:00,-31.928009
2015-01-01 00:17:00+00:00,-31.96055
2015-01-01 00:18:00+00:00,-31.201317
2015-01-01 00:19:00+00:00,-31.573139
2015-01-01 00:20:00+00:00,-32.086739
2015-01-01 00:21:00+00:00,-33.740147
2015-01-01 00:22:00+00:00,-33.588028
2015-01-01 00:23:00+00:00,-32.972252
2015-01-01 00:24:00+00:00,-33.616249
2015-01-01 00:25:00+00:00,-33.459541
2015-01-01 00:26:00+00:00,-33.769688
2015-01-01 00:27:00+00:00,-34.583778
2015-01-01 00:28:00+00:00,-35.885193
2015-01-01 00:29:00+00:00,-35.372154
2015-01-01 00:30:00+00:00,-35.117886
2015-01-01 00:31:00+00:00,-34.305454
2015-01-01 00:32:00+00:00,-34.196716
2015-01-01 00:33:00+00:00,-34.939175
2015-01-01 00:34:00+00:00,-35.255424
2015-01-01 00:35:00+00:00,-35.198147
2015-01-01 00:36:00+00:00,-34.055374
2015-01-01 00:37:00+00:00,-33.618057
2015-01-01 00:38:00+00:00,-34.496605
2015-01-01 00:39:00+00:00,-35.370434
2015-01-01 00:40:00+00:00,-35.346043
2015-01-01 00:41:00+00:00,-34.304226
2015-01-01 00:42:00+00:00,-33.644348
2015-01-01 00:43:00+00:00,-32.57729
2015-01-01 00:44:00+00:00,-31.550257
2015-01-01 00:45:00+00:00,-32.404015
2015-01-01 00:46:00+00:00,-32.396423
2015-01-01 00:47:00+00:00,-31.27722
2015-01-01 00:48:00+00:00,-30.857973
2015-01-01 00:49:00+00:00,-31.236282
2015-01-01 00:50:00+00:00,-32.666977
2015-01-01 00:51:00+00:00,-36.274738
2015-01-01 00:52:00+00:00,-35.169983
2015-01-01 00:53:00+00:00,-32.373524
2015-01-01 00:54:00+00:00,-31.823917
2015-01-01 00:55:00+00:00,-31.993
2015-01-01 00:56:00+00:00,-30.379389
2015-01-01 00:57:00+00:00,-28.207417
2015-01-01 00:58:00+00:00,-27.894016
2015-01-01 00:59:00+00:00,-27.80925
2015-01-01 01:00:00+00:00,-28.313412
2015-01-01 01:01:00+00:00,-28.132698
2015-01-01 01:02:00+00:00,-26.807487
2015-01-01 01:03:00+00:00,-26.380779
2015-01-01 01:04:00+00:00,-26.73435
2015-01-01 01:05:00+00:00,-26.523415
2015-01-01 01:06:00+00:00,-31.651175
2015-01-01 01:07:00+00:00,-26.300934
2015-01-01 01:08:00+00:00,-25.953262
2015-01-01 01:09:00+00:00,-27.852852
2015-01-01 01:10:00+00:00,-28.197405
2015-01-01 01:11:00+00:00,-28.24663
2015-01-01 01:12:00+00:00,-27.636208
2015-01-01 01:13:00+00:00,-28.254755
2015-01-01 01:14:00+00:00,-47.414585
2015-01-01 01:15:00+00:00,-41.959427
2015-01-01 01:16:00+00:00,-28.333298
2015-01-01 01:17:00+00:00,-27.031185
2015-01-01 01:18:00+00:00,-27.902081
2015-01-01 01:19:00+00:00,-28.679325
2015-01-01 01:20:00+00:00,-29.563053
2015-01-01 01:21:00+00:00,-29.0327
2015-01-01 01:22:00+00:00,-28.461252
2015-01-01 01:23:00+00:00,-30.595789
2015-01-01 01:24:00+00:00,-30.065996
2015-01-01 01:25:00+00:00,-31.884583
2015-01-01 01:26:00+00:00,-34.043671
2015-01-01 01:27:00+00:00,-34.582272
2015-01-01 01:28:00+00:00,-34.226887
2015-01-01 01:29:00+00:00,-34.965733
2015-01-01 01:30:00+00:00,-36.3554
2015-01-01 01:31:00+00:00,-36.088627
2015-01-01 01:32:00+00:00,-34.979134
2015-01-01 01:33:00+00:00,-34.923447
2015-01-01 01:34:00+00:00,-36.558266
2015-01-01 01:35:00+00:00,-37.930458
2015-01-01 01:36:00+00:00,-37.936485
2015-01-01 01:37:00+00:00,-36.863445
2015-01-01 01:38:00+00:00,-34.523869
2015-01-01 01:39:00+00:00,-35.821953
2015-01-01 01:40:00+00:00,-37.68351
2015-01-01 01:41:00+00:00,-37.650513
2015-01-01 01:42:00+00:00,-36.347954
2015-01-01 01:43:00+00:00,-36.204525
2015-01-01 01:44:00+00:00,-36.484863
2015-01-01 01:45:00+00:00,-37.56786
2015-01-01 01:46:00+00:00,-36.965244
2015-01-01 01:47:00+00:00,-37.342964
2015-01-01 01:48:00+00:00,-37.251823
2015-01-01 01:49:00+00:00,-37.760155
2015-01-01 01:50:00+00:00,-35.24979
2015-01-01 01:51:00+00:00,-36.334965
2015-01-01 01:52:00+00:00,-36.58403
2015-01-01 01:53:00+00:00,-38.854401
2015-01-01 01:54:00+00:00,-40.591068
2015-01-01 01:55:00+00:00,-37.806614
2015-01-01 01:56:00+00:00,-36.81461
2015-01-01 01:57:00+00:00,-36.028416
