time,SML
2018-01-01 00:00:00+00:00,-229.925049
2018-01-01 00:01:00+00:00,-225.917313
2018-01-01 00:02:00+00:00,-221.912476
2018-01-01 00:03:00+00:00,-213.907623
2018-01-01 00:04:00+00:00,-208.904724
2018-01-01 00:05:00+00:00,-200.903809
2018-01-01 00:06:00+00:00,-190.899979
2018-01-01 00:07:00+00:00,-186.897171
2018-01-01 00:08:00+00:00,-177.388855
2018-01-01 00:09:00+00:00,-171.890778
2018-01-01 00:10:00+00:00,-168.197922
2018-01-01 00:11:00+00:00,-173.390854
2018-01-01 00:12:00+00:00,-188.383865
2018-01-01 00:13:00+00:00,-200.312775
2018-01-01 00:14:00+00:00,-207.79776
2018-01-01 00:15:00+00:00,-207.850586
2018-01-01 00:16:00+00:00,-195.238953
2018-01-01 00:17:00+00:00,-190.666214
2018-01-01 00:18:00+00:00,-194.397461
2018-01-01 00:19:00+00:00,-197.932632
2018-01-01 00:20:00+00:00,-194.011978
2018-01-01 00:21:00+00:00,-205.897629
2018-01-01 00:22:00+00:00,-229.897339
2018-01-01 00:23:00+00:00,-234.893448
2018-01-01 00:24:00+00:00,-231.887909
2018-01-01 00:25:00+00:00,-233.884644
2018-01-01 00:26:00+00:00,-229.88269
2018-01-01 00:27:00+00:00,-223.883041
2018-01-01 00:28:00+00:00,-221.888641
2018-01-01 00:29:00+00:00,-217.891708
2018-01-01 00:30:00+00:00,-196.893219
2018-01-01 00:31:00+00:00,-188.903732
2018-01-01 00:32:00+00:00,-184.91333
2018-01-01 00:33:00+00:00,-181.918106
2018-01-01 00:34:00+00:00,-186.920059
2018-01-01 00:35:00+00:00,-181.924088
2018-01-01 00:36:00+00:00,-187.288544
2018-01-01 00:37:00+00:00,-203.387497
2018-01-01 00:38:00+00:00,-222.578125
2018-01-01 00:39:00+00:00,-225.779007
2018-01-01 00:40:00+00:00,-231.90242
2018-01-01 00:41:00+00:00,-244.81012
2018-01-01 00:42:00+00:00,-266.305725
2018-01-01 00:43:00+00:00,-268.518188
2018-01-01 00:44:00+00:00,-241.598953
2018-01-01 00:45:00+00:00,-243.410049
2018-01-01 00:46:00+00:00,-237.979126
2018-01-01 00:47:00+00:00,-228.978607
2018-01-01 00:48:00+00:00,-226.047226
2018-01-01 00:49:00+00:00,-253.815628
2018-01-01 00:50:00+00:00,-254.837509
2018-01-01 00:51:00+00:00,-246.911713
2018-01-01 00:52:00+00:00,-250.370224
2018-01-01 00:53:00+00:00,-250.04184
2018-01-01 00:54:00+00:00,-246.272064
2018-01-01 00:55:00+00:00,-236.661255
2018-01-01 00:56:00+00:00,-230.312332
2018-01-01 00:57:00+00:00,-233.498764
2018-01-01 00:58:00+00:00,-244.648788
2018-01-01 00:59:00+00:00,-245.696991
2018-01-01 01:00:00+00:00,-253.818222
2018-01-01 01:01:00+00:00,-262.209778
2018-01-01 01:02:00+00:00,-244.451645
2018-01-01 01:03:00+00:00,-223.809479
2018-01-01 01:04:00+00:00,-203.22757
2018-01-01 01:05:00+00:00,-172.324097
2018-01-01 01:06:00+00:00,-152.865616
2018-01-01 01:07:00+00:00,-153.526917
2018-01-01 01:08:00+00:00,-180.239471
2018-01-01 01:09:00+00:00,-214.985199
2018-01-01 01:10:00+00:00,-186.266129
2018-01-01 01:11:00+00:00,-196.28656
2018-01-01 01:12:00+00:00,-217.308426
2018-01-01 01:13:00+00:00,-222.329773
2018-01-01 01:14:00+00:00,-215.352509
2018-01-01 01:15:00+00:00,-203.375626
2018-01-01 01:16:00+00:00,-212.405014
2018-01-01 01:17:00+00:00,-211.426895
2018-01-01 01:18:00+00:00,-214.460815
2018-01-01 01:19:00+00:00,-226.491119
2018-01-01 01:20:00+00:00,-224.512894
2018-01-01 01:21:00+00:00,-219.538818
2018-01-01 01:22:00+00:00,-225.568863
2018-01-01 01:23:00+00:00,-238.597198
2018-01-01 01:24:00+00:00,-245.616852
2018-01-01 01:25:00+00:00,-244.109238
2018-01-01 01:26:00+00:00,-263.856689
2018-01-01 01:27:00+00:00,-247.732742
2018-01-01 01:28:00+00:00,-252.5392
2018-01-01 01:29:00+00:00,-257.091492
2018-01-01 01:30:00+00:00,-257.915771
2018-01-01 01:31:00+00:00,-268.212402
2018-01-01 01:32:00+00:00,-280.605286
2018-01-01 01:33:00+00:00,-301.409821
2018-01-01 01:34:00+00:00,-301.113556
2018-01-01 01:35:00+00:00,-288.992615
2018-01-01 01:36:00+00:00,-278.209076
2018-01-01 01:37:00+00:00,-293.188538
2018-01-01 01:38:00+00:00,-314.425262
2018-01-01 01:39:00+00:00,-327.013916
2018-01-01 01:40:00+00:00,-330.183014
2018-01-01 01:41:00+00:00,-337.367157
2018-01-01 01:42:00+00:00,-339.03891
2018-01-01 01:43:00+00:00,-345.573242
2018-01-01 01:44:00+00:00,-357.18399
2018-01-01 01:45:00+00:00,-355.430695
2018-01-01 01:46:00+00:00,-341.061462
2018-01-01 01:47:00+00:00,-325.204956
2018-01-01 01:48:00+00:00,-311.563263
2018-01-01 01:49:00+00:00,-298.874176
2018-01-01 01:50:00+00:00,-301.744659
2018-01-01 01:51:00+00:00,-298.155121
2018-01-01 01:52:00+00:00,-291.854767
2018-01-01 01:53:00+00:00,-300.667297
2018-01-01 01:54:00+00:00,-313.044067
2018-01-01 01:55:00+00:00,-327.424561
2018-01-01 01:56:00+00:00,-331.993317
2018-01-01 01:57:00+00:00,-331.932953
2018-01-01 01:58:00+00:00,-322.677643
2018-01-01 01:59:00+00:00,-324.165894
2018-01-01 02:00:00+00:00,-319.515808
2018-01-01 02:01:00+00:00,-325.22226
2018-01-01 02:02:00+00:00,-309.69458
2018-01-01 02:03:00+00:00,-292.910339
2018-01-01 02:04:00+00:00,-287.475006
2018-01-01 02:05:00+00:00,-284.732239
2018-01-01 02:06:00+00:00,-308.000061
2018-01-01 02:07:00+00:00,-293.063599
2018-01-01 02:08:00+00:00,-277.434723
2018-01-01 02:09:00+00:00,-293.410126
2018-01-01 02:10:00+00:00,-290.948059
2018-01-01 02:11:00+00:00,-285.612885
2018-01-01 02:12:00+00:00,-283.566742
2018-01-01 02:13:00+00:00,-277.937561
2018-01-01 02:14:00+00:00,-277.291138
2018-01-01 02:15:00+00:00,-338.111267
2018-01-01 02:16:00+00:00,-328.887695
2018-01-01 02:17:00+00:00,-335.464569
2018-01-01 02:18:00+00:00,-330.316345
2018-01-01 02:19:00+00:00,-315.673981
2018-01-01 02:20:00+00:00,-287.648651
2018-01-01 02:21:00+00:00,-269.421936
2018-01-01 02:22:00+00:00,-248.330399
2018-01-01 02:23:00+00:00,-277.51297
2018-01-01 02:24:00+00:00,-310.418243
2018-01-01 02:25:00+00:00,-324.699524
2018-01-01 02:26:00+00:00,-262.756226
2018-01-01 02:27:00+00:00,-242.479813
2018-01-01 02:28:00+00:00,-246.541275
2018-01-01 02:29:00+00:00,-238.322906
2018-01-01 02:30:00+00:00,-233.16394
2018-01-01 02:31:00+00:00,-242.142517
2018-01-01 02:32:00+00:00,-245.103577
2018-01-01 02:33:00+00:00,-232.077377
2018-01-01 02:34:00+00:00,-218.072723
2018-01-01 02:35:00+00:00,-231.051895
2018-01-01 02:36:00+00:00,-240.414597
