time,SML
2012-01-01 00:00:00+00:00,-167.688904
2012-01-01 00:01:00+00:00,-168.22171
2012-01-01 00:02:00+00:00,-164.386032
2012-01-01 00:03:00+00:00,-162.59787
2012-01-01 00:04:00+00:00,-152.326965
2012-01-01 00:05:00+00:00,-151.649078
2012-01-01 00:06:00+00:00,-151.285706
2012-01-01 00:07:00+00:00,-151.646347
2012-01-01 00:08:00+00:00,-143.677795
2012-01-01 00:09:00+00:00,-141.153229
2012-01-01 00:10:00+00:00,-148.482208
2012-01-01 00:11:00+00:00,-156.960739
2012-01-01 00:12:00+00:00,-161.257614
2012-01-01 00:13:00+00:00,-163.168594
2012-01-01 00:14:00+00:00,-161.514816
2012-01-01 00:15:00+00:00,-153.365448
2012-01-01 00:16:00+00:00,-143.899323
2012-01-01 00:17:00+00:00,-131.566925
2012-01-01 00:18:00+00:00,-117.180885
2012-01-01 00:19:00+00:00,-116.0811
2012-01-01 00:20:00+00:00,-122.1231
2012-01-01 00:21:00+00:00,-128.76416
2012-01-01 00:22:00+00:00,-125.769478
2012-01-01 00:23:00+00:00,-114.475441
2012-01-01 00:24:00+00:00,-118.280632
2012-01-01 00:25:00+00:00,-126.515121
2012-01-01 00:26:00+00:00,-134.839096
2012-01-01 00:27:00+00:00,-139.183273
2012-01-01 00:28:00+00:00,-129.433914
2012-01-01 00:29:00+00:00,-116.550034
2012-01-01 00:30:00+00:00,-110.444763
2012-01-01 00:31:00+00:00,-120.666046
2012-01-01 00:32:00+00:00,-122.249245
2012-01-01 00:33:00+00:00,-129.211975
2012-01-01 00:34:00+00:00,-123.325554
2012-01-01 00:35:00+00:00,-111.549057
2012-01-01 00:36:00+00:00,-106.636345
2012-01-01 00:37:00+00:00,-90.256081
2012-01-01 00:38:00+00:00,-81.518089
2012-01-01 00:39:00+00:00,-78.855118
2012-01-01 00:40:00+00:00,-77.259804
2012-01-01 00:41:00+00:00,-81.320053
2012-01-01 00:42:00+00:00,-80.718025
2012-01-01 00:43:00+00:00,-70.526489
2012-01-01 00:44:00+00:00,-64.004257
2012-01-01 00:45:00+00:00,-60.995579
2012-01-01 00:46:00+00:00,-56.919861
2012-01-01 00:47:00+00:00,-60.790409
2012-01-01 00:48:00+00:00,-55.679943
2012-01-01 00:49:00+00:00,-54.448433
2012-01-01 00:50:00+00:00,-52.296169
2012-01-01 00:51:00+00:00,-51.414871
2012-01-01 00:52:00+00:00,-45.227425
2012-01-01 00:53:00+00:00,-39.275745
2012-01-01 00:54:00+00:00,-41.74511
2012-01-01 00:55:00+00:00,-43.774616
2012-01-01 00:56:00+00:00,-42.497101
2012-01-01 00:57:00+00:00,-44.876381
2012-01-01 00:58:00+00:00,-47.369461
2012-01-01 00:59:00+00:00,-52.308506
2012-01-01 01:00:00+00:00,-55.146164
2012-01-01 01:01:00+00:00,-53.550789
2012-01-01 01:02:00+00:00,-48.860786
2012-01-01 01:03:00+00:00,-44.538197
2012-01-01 01:04:00+00:00,-48.218632
2012-01-01 01:05:00+00:00,-46.398426
2012-01-01 01:06:00+00:00,-37.403801
2012-01-01 01:07:00+00:00,-36.264103
2012-01-01 01:08:00+00:00,-35.754684
2012-01-01 01:09:00+00:00,-30.23807
2012-01-01 01:10:00+00:00,-35.202358
2012-01-01 01:11:00+00:00,-53.916817
2012-01-01 01:12:00+00:00,-85.075363
2012-01-01 01:13:00+00:00,-99.917274
2012-01-01 01:14:00+00:00,-83.567543
2012-01-01 01:15:00+00:00,-75.706856
2012-01-01 01:16:00+00:00,-52.306892
2012-01-01 01:17:00+00:00,-33.496574
2012-01-01 01:18:00+00:00,-33.147568
2012-01-01 01:19:00+00:00,-36.342014
2012-01-01 01:20:00+00:00,-39.715252
2012-01-01 01:21:00+00:00,-41.616451
2012-01-01 01:22:00+00:00,-47.531013
2012-01-01 01:23:00+00:00,-50.770916
2012-01-01 01:24:00+00:00,-56.958923
2012-01-01 01:25:00+00:00,-63.917755
2012-01-01 01:26:00+00:00,-71.065437
2012-01-01 01:27:00+00:00,-75.010406
2012-01-01 01:28:00+00:00,-75.777611
2012-01-01 01:29:00+00:00,-77.013596
2012-01-01 01:30:00+00:00,-78.247696
2012-01-01 01:31:00+00:00,-67.09774
2012-01-01 01:32:00+00:00,-65.80114
2012-01-01 01:33:00+00:00,-50.969463
2012-01-01 01:34:00+00:00,-44.670483
2012-01-01 01:35:00+00:00,-45.657825
2012-01-01 01:36:00+00:00,-41.053909
2012-01-01 01:37:00+00:00,-34.944195
2012-01-01 01:38:00+00:00,-32.496613
2012-01-01 01:39:00+00:00,-30.969109
2012-01-01 01:40:00+00:00,-30.843571
2012-01-01 01:41:00+00:00,-33.558495
2012-01-01 01:42:00+00:00,-34.243774
2012-01-01 01:43:00+00:00,-31.76613
2012-01-01 01:44:00+00:00,-34.705658
2012-01-01 01:45:00+00:00,-34.076527
2012-01-01 01:46:00+00:00,-24.617481
2012-01-01 01:47:00+00:00,-23.470276
2012-01-01 01:48:00+00:00,-25.108702
2012-01-01 01:49:00+00:00,-29.32196
2012-01-01 01:50:00+00:00,-32.975746
2012-01-01 01:51:00+00:00,-34.190151
2012-01-01 01:52:00+00:00,-33.41925
2012-01-01 01:53:00+00:00,-37.181206
2012-01-01 01:54:00+00:00,-37.415867
2012-01-01 01:55:00+00:00,-29.853523
